car name,engine_capacity,cylinder,horse_power,top_speed,seats,price_in_usd
Audi RS Q3 2021 2.5L TFSI quattro Sportback,2.5,5.0,400.0,280.0,5.0,47106.8754254595
Lincoln Continental 2021 3.7L Premier,3.7,6.0,379.0,211.0,6.0,47106.8754254595
McLaren 720S 2021 4.0T Coupe,4.0,8.0,770.0,211.0,2.0,358946.6666666667
Mercedes-Benz C Class Cabriolet 2021 C 300 Cabriolet,2.0,4.0,258.0,250.0,4.0,72804.0
Mercedes-Benz S Class Cabriolet 2021 S 560,4.0,8.0,465.0,250.0,4.0,176198.66666666666
Lincoln Continental 2021 3.0T Reserve,3.0,6.0,400.0,250.0,5.0,47106.8754254595
McLaren 570S Spider 2021 3.8T,3.8,8.0,600.0,211.0,3.0,47106.8754254595
Land Rover Range Rover Velar 2021 2.0L R-Dynamic SE (250 PS),2.0,4.0,250.0,217.0,5.0,76390.66666666667
Mercedes-Benz S Class Cabriolet 2021 S63 4MATIC+,4.0,8.0,612.0,250.0,4.0,220062.66666666666
Alfa Romeo Stelvio 2021 Quadrifoglio,2.9,6.0,510.0,283.0,5.0,117333.33333333333
Land Rover Range Rover Velar 2021 2.0L S (250 PS),2.0,4.0,250.0,217.0,5.0,72772.0
McLaren 570 GT 2021 3.8T Coupe,3.8,8.0,562.0,328.0,2.0,47106.8754254595
Mercedes-Benz C Class Cabriolet 2021 C AMG 53 4MATIC+ Cabriolet,3.0,6.0,435.0,250.0,4.0,92997.06666666667
Alfa Romeo Stelvio 2021 Super,2.0,4.0,280.0,230.0,5.0,55514.666666666664
Mercedes-Benz AMG GT Roadster 2021 4.0L V8 (476 HP),4.0,8.0,476.0,302.0,2.0,159298.66666666666
Mercedes-Benz C Class Cabriolet 2021 C 200 Cabriolet,2.0,4.0,204.0,235.0,4.0,67576.8
Skoda Kodiaq 2021 2.0 TSI Style (AWD),2.0,4.0,180.0,207.0,7.0,37268.0
Lamborghini Aventador S Roadster 2021 6.5L V12 (740 HP),6.5,12.0,740.0,350.0,2.0,542666.6666666666
Borgward BX5 2021 1.4T Comfort,1.4,4.0,147.0,180.0,5.0,23388.266666666666
GAC GA8 2021 2.0T GL,2.0,4.0,198.0,200.0,4.0,28725.333333333332
Genesis G70 2021 2.0T Premium,2.0,4.0,252.0,240.0,5.0,68980.0
Borgward BX5 2021 1.4T Elite,1.4,4.0,147.0,180.0,5.0,28623.2
Borgward BX5 2021 1.4T Fashion,1.4,4.0,147.0,180.0,5.0,24715.733333333334
Kia Stinger 2021 2.0T (255 PS),2.0,4.0,251.0,240.0,5.0,38778.666666666664
Lamborghini Aventador S 2021 6.5L V12 Coupe,6.5,4.0,740.0,350.0,2.0,510041.6
Mercedes-Benz AMG GT Roadster 2021 4.0L V8 (558 HP) C,4.0,8.0,558.0,316.0,2.0,196933.86666666667
Lamborghini Urus 2021 4.0T V8,4.0,8.0,650.0,305.0,4.0,287466.6666666667
Kia Stinger 2021 3.3T AWD Full Option (370 PS),3.3,6.0,365.0,270.0,5.0,49866.666666666664
Genesis G80 2021 3.5T Platinum (AWD),3.5,6.0,380.0,250.0,5.0,47106.8754254595
Lexus UX 200 2021 Elegant,2.0,4.0,169.0,180.0,4.0,46030.666666666664
BMW X2 2021 sDrive20i,2.0,4.0,189.0,180.0,5.0,57200.0
RAM Rebel TRX Concept 2021 6.2L V8 (702 HP),6.2,8.0,702.0,190.0,4.0,47106.8754254595
Mercedes-Benz EQC 2021 400 4MATIC,0.0,4.0,402.0,180.0,5.0,47106.8754254595
Lincoln Nautilus 2021 2.0T (250 Hp),2.0,6.0,250.0,230.0,5.0,47809.333333333336
Mercedes-Benz A-class Sedan 2021 200,0.0,4.0,163.0,230.0,5.0,43941.066666666666
Jaguar I-Pace 2021 EV400 HSE (AWD),0.0,4.0,255.0,211.0,5.0,47106.8754254595
Lincoln Nautilus 2021 2.7T V6 Reserve (335 Hp),2.7,6.0,335.0,250.0,5.0,47106.8754254595
Lexus UX 200 2021 Excellence,2.0,4.0,169.0,180.0,4.0,56242.666666666664
Maxus T60 2021 2.8D Double Cab (4x4),2.8,4.0,350.0,211.0,11.0,19946.666666666668
BMW 8 Series Convertible 2021 M 850i xDrive,4.4,8.0,523.0,250.0,4.0,162800.0
Jaguar I-Pace 2021 EV400 S (AWD),0.0,4.0,255.0,211.0,5.0,47106.8754254595
Jaguar I-Pace 2021 EV400 SE (AWD),0.0,4.0,255.0,211.0,5.0,47106.8754254595
Cadillac CTS-V Sedan 2021 6.2L Supercharged W/ Carbon fiber package (640HP),0.0,8.0,854.0,211.0,3.0,47106.8754254595
BMW M2 Competition 2021 3.0T,3.0,6.0,410.0,280.0,4.0,111173.33333333333
Cadillac CTS-V Sedan 2021 6.2L Supercharged (640HP),0.0,8.0,854.0,211.0,3.0,47106.8754254595
BMW X7 2021 XDrive50i,4.4,8.0,462.0,245.0,5.0,149893.33333333334
BMW X7 2021 XDrive40i,3.0,6.0,340.0,245.0,5.0,126133.33333333333
Hyundai Veloster N 2021 2.0L T-GDI (sport),2.0,4.0,275.0,211.0,5.0,47106.8754254595
BMW 8 Series Gran Coupe 2021 840i,3.0,8.0,340.0,250.0,4.0,132880.0
Maxus D90 2021 2.0T Executive Luxury (4WD),2.0,4.0,225.0,175.0,7.0,47106.8754254595
Ferrari SF90 Stradale 2021 4.0T V8 Plug-in-Hybrid,4.0,8.0,25.0,211.0,5.0,557333.3333333334
Mazda CX-30 2021 2.0L Classic 4x2,2.0,4.0,155.0,192.0,5.0,23953.066666666666
McLaren 600LT 2021 3.8T V8 Coupe,0.0,8.0,592.0,328.0,5.0,47106.8754254595
BMW 8 Series Gran Coupe 2021 M850i xDrive,4.4,8.0,530.0,250.0,4.0,162800.0
Mitsubishi Spacestar 2021 1.2L GLS HL,1.2,3.0,78.0,173.0,5.0,10787.466666666667
Bestune X40 2021 1.6L,1.6,4.0,112.0,168.0,5.0,15195.2
McLaren Senna 2021 4.0T V8 Coupe,4.0,8.0,800.0,335.0,2.0,1489777.3333333333
Mitsubishi Spacestar 2021 1.2L GLS LL,1.2,3.0,78.0,173.0,5.0,9973.333333333334
Maxus D90 2021 2.0T Elite (2WD),2.0,4.0,225.0,185.0,7.0,22400.0
Ferrari 812 GTS 2021 6.5L V12,6.5,12.0,718.0,211.0,3.0,386666.6666666667
Audi RS Q8 2021 4.0 TFSI V8 Quattro,4.0,8.0,600.0,250.0,5.0,47106.8754254595
Jetour X70 2021 1.5T Comfort,1.5,4.0,156.0,180.0,7.0,21330.666666666668
MG 6 2021 1.5T LUX,1.5,4.0,169.0,180.0,5.0,21513.333333333332
Bestune T77 2021 1.2T Premium,0.0,4.0,148.0,181.0,5.0,21635.466666666667
Jetour X70 2021 1.5T Luxury,1.5,4.0,156.0,180.0,7.0,24000.0
MG 6 2021 1.5T STD,1.5,4.0,169.0,180.0,5.0,17986.666666666668
Hongqi L5 2021 6.0 V12,6.0,12.0,402.0,190.0,7.0,47106.8754254595
MG 6 2021 1.5T COM,1.5,4.0,169.0,180.0,5.0,19182.666666666668
Hongqi HS5 2021 2.0T Deluxe,2.0,4.0,224.0,210.0,5.0,39040.0
Hongqi E-HS3 2021 EV 153 hp (FWD),0.0,4.0,255.0,211.0,5.0,47106.8754254595
Jetour X90 2021 1.6T Luxury,1.6,4.0,194.0,185.0,7.0,26373.333333333332
Hongqi HS5 2021 2.0T Premium (AWD),2.0,4.0,224.0,210.0,5.0,43706.666666666664
Hongqi HS5 2021 2.0T Comfort,2.0,4.0,224.0,210.0,5.0,34240.0
Hongqi E-HS3 2021 EV 305 hp (AWD),0.0,4.0,255.0,211.0,5.0,47106.8754254595
Ferrari F8 Tributo 2021 3.9T V8,3.9,8.0,710.0,340.0,2.0,293333.3333333333
Audi e-tron Sportback 2021 50 (71 kWh) Quattro,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Audi SQ8 2021 4.0 TFSI quattro (500 HP),4.0,8.0,500.0,250.0,5.0,85333.33333333333
Audi e-tron Sportback 2021 55 (95 kWh) Quattro,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Toyota C HR 2021 1.8L Dynamic Hybrid,1.8,4.0,121.0,170.0,5.0,27109.333333333332
Lincoln Crosair 2021 2.0T Reserve,2.0,4.0,245.0,211.0,7.0,52102.666666666664
Lincoln Crosair 2021 2.0T Base,2.0,4.0,245.0,211.0,7.0,50262.666666666664
Toyota Supra 2021 2.0T GR,2.0,4.0,255.0,250.0,2.0,53789.333333333336
McLaren 765LT 2021 4.0T V8,4.0,8.0,755.0,330.0,2.0,449413.3333333333
Great Wall Wingle 7 2021 2.0T Double Cabin (4x4) (Leather),2.0,4.0,315.0,211.0,15.0,19925.066666666666
Great Wall Wingle 7 2021 2.4T Double Cabin (4x4) (Petrol),2.4,4.0,220.0,211.0,15.0,18085.066666666666
Great Wall Wingle 7 2021 2.4T Single Cabin (RWD) (Petrol),2.4,4.0,147.0,180.0,5.0,15631.733333333334
Hyundai Ioniq 5 2022 EV 72.6 kWh,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Ferrari Roma 2021 3.9T V8,3.9,8.0,620.0,320.0,4.0,47106.8754254595
Great Wall Wingle 7 2021 2.4T Double Cabin (4x4) (Petrol) (Leather),2.4,4.0,220.0,211.0,15.0,18698.133333333335
Hyundai Ioniq 5 2022 EV 58 kWh,0.0,4.0,255.0,185.0,5.0,47106.8754254595
Ferrari F8 Spider 2021 3.9T V8,3.9,8.0,710.0,340.0,2.0,320000.0
Volkswagen Golf GTI 2021 2.0T P1 Full option,2.0,4.0,245.0,210.0,5.0,37702.13333333333
Peugeot 2008 2021 1.6L (115HP) Active+,1.6,4.0,115.0,200.0,5.0,18400.0
Toyota Corolla Cross 2021 1.8L XL (HEV),1.8,4.0,255.0,211.0,5.0,22294.666666666668
Toyota Corolla Cross 2021 1.8L GLI (HEV),1.8,4.0,255.0,211.0,5.0,23858.666666666668
Volkswagen Golf GTI 2021 2.0T P2 Full option,2.0,4.0,245.0,210.0,5.0,43290.933333333334
Peugeot 2008 2021 1.6L (115HP) Allure+,1.6,4.0,115.0,200.0,5.0,20000.0
Peugeot 2008 2021 1.2T (155HP) GT,1.2,3.0,155.0,208.0,5.0,24266.666666666668
Maserati MC20 2021 3.0T V6,3.0,6.0,630.0,325.0,2.0,47106.8754254595
Hongqi H9 2021 2.0T Luxury,2.0,4.0,252.0,250.0,5.0,47106.8754254595
Hongqi H9 2021 3.0T Comfort,3.0,6.0,283.0,250.0,5.0,47106.8754254595
Hongqi H9 2021 3.0T Executive Two Tone,3.0,6.0,283.0,250.0,5.0,47106.8754254595
Hongqi H9 2021 3.0T Comfort Two Tone,3.0,6.0,283.0,250.0,5.0,47106.8754254595
Ford Bronco 2-door 2021 2.7T WildTrack,2.7,6.0,542.0,211.0,6.0,65066.666666666664
Ford Bronco 2-door 2021 2.3T Big Bend,2.3,4.0,420.0,211.0,7.0,48000.0
Hongqi H9 2021 3.0T Executive,3.0,6.0,283.0,250.0,5.0,47106.8754254595
Genesis GV80 2021 3.5T Platinium,3.5,6.0,530.0,211.0,5.0,47106.8754254595
Geely Azkarra 2021 1.5TD GF (4WD) Mild Hybrid,1.5,3.0,255.0,211.0,5.0,27089.333333333332
Geely Azkarra 2021 1.5TD GL (4WD) Mild Hybrid,1.5,3.0,255.0,211.0,5.0,25556.0
Geely Tugella 2021 2.0T GF (4WD),2.0,4.0,238.0,211.0,6.0,32946.666666666664
Geely Tugella 2021 2.0T GL (4WD),2.0,4.0,238.0,211.0,6.0,30186.666666666668
Chery Arrizo 3 2022 1.5L Luxury,1.5,4.0,107.0,175.0,5.0,11866.666666666666
Ford Bronco 2021 2.7T Big Lands,2.7,6.0,542.0,211.0,6.0,69866.66666666667
Chery Tiggo8 Pro 2021 1.6T GDI Flagship,1.6,4.0,185.0,200.0,7.0,47106.8754254595
Ford Bronco 2021 2.7T WildTrack,2.7,6.0,542.0,211.0,6.0,70133.33333333333
MG GT 2022 1.5T Luxury,1.5,4.0,173.0,215.0,5.0,47106.8754254595
Chevrolet Spark 2021 1.4L LS,1.4,4.0,98.0,170.0,5.0,47106.8754254595
MG GT 2022 1.5L Standard,1.5,4.0,118.0,185.0,5.0,47106.8754254595
MG ZS 2021 1.5L STD,1.5,4.0,112.0,170.0,5.0,47106.8754254595
MG GT 2022 1.5T Comfort,1.5,4.0,173.0,215.0,5.0,47106.8754254595
Renault Symbol 2021 1.6L PE,1.6,4.0,102.0,180.0,5.0,13432.0
MG ZS 2021 1.3T ZST,1.3,3.0,160.0,185.0,5.0,47106.8754254595
Hyundai Accent 2021 1.4L Base,1.4,4.0,100.0,183.0,5.0,13866.666666666666
Mitsubishi L200 2021 2.4L Single Cab GL (2WD),2.4,4.0,128.0,169.0,3.0,17872.8
Hyundai Accent 2021 1.6L Base,1.6,4.0,123.0,193.0,5.0,14226.666666666666
Chevrolet Spark 2021 1.4L LT,1.4,4.0,98.0,170.0,5.0,12633.333333333334
Hyundai Accent 2021 1.4L Mid,1.4,4.0,100.0,183.0,5.0,14666.666666666666
Toyota Yaris Sedan 2021 1.5L Y Plus (CVT),1.5,4.0,105.0,175.0,5.0,15916.0
